  -86.8546        19   82.2817    121.14   47.2168   167.661
  -86.8546        17   82.2817   120.843   47.0861   168.926
  -86.8546        15   82.2817   120.578   46.9689   170.202
  -86.8546        13   82.2817   120.345   46.8655   171.487
  -86.8546        11   82.2817   120.146   46.7762   172.782
  -86.8546         9   82.2817   119.979   46.7014   174.084
  -86.8546         7   82.2817   119.846   46.6413   175.392
  -86.8546         5   82.2817   119.746    46.596   176.705
  -86.8546         3   82.2817   119.679   46.5657   178.022
  -86.8546         1   82.2817   119.645   46.5506    179.34
  -86.8546        -1   82.2817   119.645   46.5506   -179.34
  -86.8546        -3   82.2817   119.679   46.5657  -178.022
  -86.8546        -5   82.2817   119.746    46.596  -176.705
  -86.8546        -7   82.2817   119.846   46.6413  -175.392
  -86.8546        -9   82.2817   119.979   46.7014  -174.084
  -86.8546       -11   82.2817   120.146   46.7762  -172.782
  -86.8546       -13   82.2817   120.345   46.8655  -171.487
  -86.8546       -15   82.2817   120.578   46.9689  -170.202
  -86.8546       -17   82.2817   120.843   47.0861  -168.926
  -86.8546       -19   82.2817    121.14   47.2168  -167.661
  -86.8546       -21   82.2817    121.47   47.3606  -166.408
  -86.8546       -23   82.2817   121.832    47.517  -165.168
  -86.8546       -25   82.2817   122.225   47.6856  -163.942
  -86.8546       -27   82.2817    122.65    47.866  -162.731
  -86.8546       -29   82.2817   123.106   48.0576  -161.536
  -86.8546       -31   82.2817   123.592   48.2599  -160.358
  -87.8963        31   80.5745   123.203   49.1564   160.573
  -87.8963        29   80.5745   122.715   48.9591   161.741
  -87.8963        27   80.5745   122.258   48.7723   162.924
  -87.8963        25   80.5745   121.832   48.5965   164.123
  -87.8963        23   80.5745   121.437   48.4321   165.336
  -87.8963        21   80.5745   121.074   48.2796   166.563
  -87.8963        19   80.5745   120.744   48.1395   167.802
  -87.8963        17   80.5745   120.445   48.0122   169.054
  -87.8963        15   80.5745   120.179   47.8979   170.315
  -87.8963        13   80.5745   119.946   47.7972   171.587
  -87.8963        11   80.5745   119.746   47.7102   172.867
  -87.8963         9   80.5745   119.578   47.6373   174.154
  -87.8963         7   80.5745   119.445   47.5787   175.447
  -87.8963         5   80.5745   119.344   47.5346   176.744
  -87.8963         3   80.5745   119.277   47.5052   178.045
  -87.8963         1   80.5745   119.243   47.4904   179.348
  -87.8963        -1   80.5745   119.243   47.4904  -179.348
  -87.8963        -3   80.5745   119.277   47.5052  -178.045
  -87.8963        -5   80.5745   119.344   47.5346  -176.744
  -87.8963        -7   80.5745   119.445   47.5787  -175.447
  -87.8963        -9   80.5745   119.578   47.6373  -174.154
  -87.8963       -11   80.5745   119.746   47.7102  -172.867
  -87.8963       -13   80.5745   119.946   47.7972  -171.587
  -87.8963       -15   80.5745   120.179   47.8979  -170.315
  -87.8963       -17   80.5745   120.445   48.0122  -169.054
  -87.8963       -19   80.5745   120.744   48.1395  -167.802
  -87.8963       -21   80.5745   121.074   48.2796  -166.563
  -87.8963       -23   80.5745   121.437   48.4321  -165.336
  -87.8963       -25   80.5745   121.832   48.5965  -164.123
  -87.8963       -27   80.5745   122.258   48.7723  -162.924
  -87.8963       -29   80.5745   122.715   48.9591  -161.741
  -87.8963       -31   80.5745   123.203   49.1564  -160.573
   -88.938        31   78.8672   122.845   50.0586   160.784
   -88.938        29   78.8672   122.356   49.8665    161.94
   -88.938        27   78.8672   121.897   49.6845   163.113
   -88.938        25   78.8672    121.47   49.5133     164.3
   -88.938        23   78.8672   121.074   49.3532   165.501
   -88.938        21   78.8672    120.71   49.2047   166.715
   -88.938        19   78.8672   120.379   49.0682   167.941
   -88.938        17   78.8672   120.079   48.9442   169.179
   -88.938        15   78.8672   119.812    48.833   170.427
   -88.938        13   78.8672   119.578   48.7349   171.684
   -88.938        11   78.8672   119.378   48.6503   172.949
   -88.938         9   78.8672    119.21   48.5793   174.222
   -88.938         7   78.8672   119.076   48.5223     175.5
   -88.938         5   78.8672   118.975   48.4794   176.782
   -88.938         3   78.8672   118.908   48.4507   178.068
   -88.938         1   78.8672   118.874   48.4363   179.356
   -88.938        -1   78.8672   118.874   48.4363  -179.356
   -88.938        -3   78.8672   118.908   48.4507  -178.068
   -88.938        -5   78.8672   118.975   48.4794  -176.782
   -88.938        -7   78.8672   119.076   48.5223    -175.5
   -88.938        -9   78.8672    119.21   48.5793  -174.222
   -88.938       -11   78.8672   119.378   48.6503  -172.949
