1 0 0.0130684 101.867
1 1 0.00957873 178.852
1 2 0.00943635 178.767
1 3 0.00974451 179.641
1 4 0.0101979 188.019
1 5 0.0106124 189.691
1 6 0.0110138 186.636
1 7 0.01068 183.623
1 8 0.0106626 190.217
1 9 0.0108721 173.645
1 10 0.0103568 185.263
1 11 0.0103774 177.296
1 12 0.0106946 185.11
1 13 0.0105388 187.475
1 14 0.0106406 192.736
1 15 0.0111453 229.002
1 16 0.00799083 232.951
1 17 0.00990576 179.144
1 18 0.0109079 185.907
1 19 0.0123112 166.095
1 20 0.0123338 182.203
1 21 0.0119501 180.767
1 22 0.0117026 189.032
1 23 0.0118856 185.603
1 24 0.0124251 181.982
1 25 0.0110601 182.866
1 26 0.0112096 194.446
1 27 0.0113499 179.967
1 28 0.01176 187.44
1 29 0.0110846 194.333
1 30 0.0118194 183.992
1 31 0.0122269 190.107
2 0 0.00778697 149.86
2 1 0.00780332 144.273
2 2 0.00767779 151.572
2 3 0.00781503 159.98
2 4 0.00773138 160.292
2 5 0.00817076 165.504
2 6 0.00792662 172.972
2 7 0.00482441 176.327
2 8 0.00569031 176.265
2 9 0.00861289 176.612
2 10 0.00895222 186.927
2 11 0.00880906 185.613
2 12 0.00894918 193.488
2 13 0.00840181 202.088
2 14 0.00778196 202.336
2 15 0.000109708 2162.97
2 16 0.00443494 231.174
2 17 0.00636206 156.149
2 18 0.00806303 161.125
2 19 0.00849226 162.243
2 20 0.00907065 169.304
2 21 0.00988678 166.447
2 22 0.0101307 170.384
2 23 0.0101927 161.736
2 24 0 0
2 25 0.0101779 180.607
2 26 0.010628 177.026
2 27 0.00975108 177.751
2 28 0.00924182 186.644
2 29 0.00888415 192.551
2 30 0.00941051 205.436
2 31 0.00973211 222.806
3 0 0.0103729 119.415
3 1 0.0109057 137.847
3 2 0.0106196 148.685
3 3 0.0107635 405.647
3 4 0.0108667 317.104
3 5 0.0109981 148.943
3 6 0.0114453 147.087
3 7 0.012026 140.255
3 8 0.0114096 151.992
3 9 0.0117197 142.672
3 10 0.0110448 140.271
3 11 0.0113209 145.802
3 12 0.0106841 146.264
3 13 0.0103018 156.849
3 14 0.00864211 150.696
3 15 0.00933634 189.336
3 16 0.00616481 180.487
3 17 0.0123353 68.5904
3 18 0.0136391 93.0258
3 19 0.0129736 117.417
3 20 0.0131008 138.328
3 21 0.0114738 154.937
3 22 0.0114975 157.314
3 23 0.0115752 159.092
3 24 0.011914 163.547
3 25 0.0103708 162.329
3 26 0.0112219 158.215
