1	0	-1300.6685152891	1.5418894182	6.91E-07
1	1	-1331.990885992	1.6063267159	6.91E-07
1	2	-1336.319227809	1.625086092	6.91E-07
1	3	-1364.238134359	1.5857882659	6.91E-07
1	4	-1314.2727675059	1.5815226563	6.91E-07
1	5	-1347.2148198392	1.6056707569	6.91E-07
1	6	-1230.0440295596	1.4811582565	6.91E-07
1	7	-1222.1075373459	1.4728577526	6.91E-07
1	8	-1362.2346669891	1.6113287668	6.91E-07
1	9	-1395.4812952188	1.5722718527	6.91E-07
1	10	-1166.5683125394	1.4483969135	6.91E-07
1	11	-1277.2417305242	1.5508462341	6.91E-07
1	12	-1274.0832851308	1.5202202858	6.91E-07
1	13	-1312.2176369181	1.5735316885	6.91E-07
1	14	-1261.0229694069	1.5224194715	6.91E-07
1	15	-1342.1751870203	1.5388185633	6.91E-07
1	16	-1356.7978246865	1.6364221233	6.91E-07
1	17	-1220.6817754665	1.4973475967	6.91E-07
1	18	-1277.4408662494	1.5915577126	6.91E-07
1	19	-1255.5794749543	1.5385905736	6.91E-07
1	20	-1297.5421967118	1.5933573384	6.91E-07
1	21	-1248.5752450027	1.5343184499	6.91E-07
1	22	-1211.9245839056	1.5301759121	6.91E-07
1	23	-1395.6175951819	1.6218003309	6.91E-07
1	24	-1288.0116096804	1.5417213458	6.91E-07
1	25	-1341.6536157123	1.5786604933	6.91E-07
1	26	-1392.0397445393	1.6644438533	6.91E-07
1	27	-1337.6494694817	1.572838272	6.91E-07
1	28	-1218.5840922146	1.5354700355	6.91E-07
1	29	-1271.7255690717	1.6094270313	6.91E-07
1	30	-1254.5261611065	1.5142580456	6.91E-07
1	31	-1232.7199022884	1.497114906	6.91E-07
2	0	-1318.1757097912	1.601819782	6.91E-07
2	1	-1320.9629915466	1.5794423924	6.91E-07
2	2	-1274.0568654841	1.577110977	6.91E-07
2	3	-1308.9923156125	1.6055776185	6.91E-07
2	4	-1329.3288283202	1.580476453	6.91E-07
2	5	-1197.2668842723	1.525903918	6.91E-07
2	6	-1331.5642244416	1.5377287119	6.91E-07
2	7	-1185.5612579357	1.4583693003	6.91E-07
2	8	-1312.9008977509	1.5893176225	6.91E-07
2	9	-1168.7688060494	1.5042924944	6.91E-07
2	10	-1247.4414895412	1.5414125493	6.91E-07
2	11	-1253.7026737004	1.5619095515	6.91E-07
2	12	-1297.1476113042	1.5791413103	6.91E-07
2	13	-1320.9565881668	1.6010662923	6.91E-07
2	14	-1211.3346161628	1.5383185955	6.91E-07
2	15	932.0989413107	1.3038273903	6.91E-07
2	16	-1465.9112210953	1.6419777717	6.91E-07
2	17	-1323.8800113945	1.572539892	6.91E-07
2	18	-1344.5581148497	1.5876857485	6.91E-07
2	19	-1374.3762304359	1.582723177	6.91E-07
2	20	-1312.8460762236	1.5380806975	6.91E-07
2	21	-1346.4766462614	1.5790188587	6.91E-07
2	22	-1272.4542711397	1.5143178946	6.91E-07
2	23	-1350.8624021245	1.5898583325	6.91E-07
2	24	0	0	6.91E-07
2	25	-1295.3944060974	1.5781632181	6.91E-07
2	26	-1355.0808901988	1.5210026308	6.91E-07
2	27	-1354.4526257953	1.5834472793	6.91E-07
2	28	-1231.9633110304	1.5446446024	6.91E-07
2	29	-1329.7067826726	1.5793009805	6.91E-07
2	30	-1270.0102363509	1.5295615795	6.91E-07
2	31	-1228.3685512752	1.5646765447	6.91E-07
3	0	-1435.9856161103	1.6176462188	6.91E-07
3	1	-1321.8003095003	1.5300810339	6.91E-07
3	2	-1391.229090056	1.6092649359	6.91E-07
3	3	-952.1044228915	1.4547999299	6.91E-07
3	4	-1147.4086179994	1.4990934172	6.91E-07
3	5	-1401.0763801268	1.5870284311	6.91E-07
3	6	-1381.3449044783	1.5826489863	6.91E-07
3	7	-1449.6415325704	1.6148784318	6.91E-07
3	8	-1396.2621089635	1.6326797845	6.91E-07
3	9	-1407.9794324387	1.5963122594	6.91E-07
3	10	-1293.8029627902	1.5538902449	6.91E-07
3	11	-1315.5890820287	1.567708543	6.91E-07
3	12	-1288.7245482331	1.5360098555	6.91E-07
3	13	-1487.0496673803	1.6525937382	6.91E-07
3	14	-1377.2093844735	1.5978934769	6.91E-07
3	15	-1484.7676064161	1.6702187933	6.91E-07
3	16	-1405.804031495	1.5854796988	6.91E-07
3	17	-1404.7209956954	1.5764407744	6.91E-07
3	18	-1412.3139243995	1.571368238	6.91E-07
3	19	-1339.4927912109	1.5536222992	6.91E-07
3	20	-1278.308603669	1.4885815721	6.91E-07
3	21	-1404.4166359531	1.6464536691	6.91E-07
3	22	-1234.2652845702	1.5033176678	6.91E-07
3	23	-1253.1229661822	1.4903834555	6.91E-07
3	24	-1327.1334205341	1.5904777925	6.91E-07
3	25	-1302.1952433347	1.5772699872	6.91E-07
3	26	-1326.7124260121	1.5530962084	6.91E-07
3	27	-1327.6373171861	1.5540880988	6.91E-07
3	28	-1395.3858300822	1.5872529207	6.91E-07
3	29	-1339.379918399	1.5471698823	6.91E-07
3	30	-1448.0465631067	1.6547903109	6.91E-07
3	31	-1386.1054333997	1.5985947506	6.91E-07
5	0	-1359.6232706561	1.5723540984	6.91E-07
5	1	-1277.4102828761	1.5005845416	6.91E-07
5	2	-1432.9615270548	1.5914189589	6.91E-07
5	3	-1417.3372593478	1.5673360462	6.91E-07
5	4	-1411.3955537719	1.6006900534	6.91E-07
5	5	-1395.7745881529	1.5970528803	6.91E-07
5	6	-1374.9349998332	1.5794324599	6.91E-07
5	7	-1306.1504908927	1.507588204	6.91E-07
5	8	-1383.0462412379	1.6015924111	6.91E-07
5	9	-1384.2708859953	1.5078279172	6.91E-07
5	10	-1456.931171564	1.576536354	6.91E-07
5	11	-1363.5416991457	1.5698925631	6.91E-07
5	12	-1442.1990964213	1.6146533935	6.91E-07
5	13	-1393.1509323371	1.5844275743	6.91E-07
