5,27,55,188,361,
15,86,132,493,1131,
25,158,164,811,1783,
35,179,246,1000,2402,
45,222,224,1273,3083,
55,201,212,1546,3280,
65,162,183,1618,2922,
75,96,158,1770,2229,
85,77,153,1687,1620,
95,76,147,1388,1625,
105,107,148,1510,1741,
115,97,167,1871,1819,
125,101,193,2218,2061,
135,97,226,2114,2154,
145,97,231,1654,2012,
155,91,216,1100,1739,
165,48,164,684,1166,
175,24,59,208,452,
